25.000,1.000
52.000,1.000
77.000,1.000
106.000,1.000
141.000,1.000
180.000,1.000
209.000,1.000
241.000,1.000
269.000,1.000
297.000,1.000
322.000,1.000
349.000,1.000
378.000,1.000
408.000,1.000
437.000,1.000
475.000,1.000
516.000,1.000
548.000,1.000
578.000,1.000
607.000,1.000
642.000,1.000
677.000,1.000
706.000,1.000
729.000,1.000
759.000,1.000
786.000,1.000
818.000,1.000
851.000,1.000
879.000,1.000
903.000,1.000
931.000,1.000
952.000,1.000
979.000,1.000
1008.000,1.000
1029.000,1.000
1057.000,1.000
1074.000,1.000
1098.000,1.000
1117.000,1.000
1146.000,1.000
1164.000,1.000
1195.000,1.000
1222.000,1.000
1250.000,1.000
